<https://bryophyteportal.org/portal/content/dwca/BING_DwC-A.eml>	<hash://sha256/7ec767139c4017e03f9a88d03682fe740a1a875f2f282b05e60ae16b03f27a7b>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/BING_DwC-A.zip>	<hash://sha256/d705aa1f77d37542db6691421027dbfcb7903947a0dd0023d81740aab7fa163e>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/BRIT_DwC-A.eml>	<hash://sha256/429b37b9f90afcb61fbfa6f3612b188855865589519b740944df699e8e399a45>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/BRIT_DwC-A.zip>	<hash://sha256/4ebef7c305499f74061e3aacc184547a43158c94216e5bb40d6bb079623f60d8>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/CHRB_DwC-A.eml>	<hash://sha256/a15d740525c7ffa2f5621b20ecb7c00620db35dee6e608cd0ba3d0f920e4e23e>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/CHRB_DwC-A.zip>	<hash://sha256/96038a31f847cec1175fffd1ce2d0149c94451f5b14211529ddf6cdd6e5bde83>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/COLO-B_DwC-A.eml>	<hash://sha256/12fb3ac88c8af3e65ca62fb825678b302cc6b65e7f2de520567f234ab445bcd8>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/COLO-B_DwC-A.zip>	<hash://sha256/84b97c5ad58cb94098bb000e956bc9ade509e978b62003108b57fa0ff39bfd3f>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/DUKE_DwC-A.eml>	<hash://sha256/5635f167082bab409ca4a4dc4c4d1c3bb48afe8fd68507b0e14403c5e431421b>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org/portal/content/dwca/DUKE_DwC-A.zip>	<hash://sha256/180ed36eaaa75243e4e22735caeb8049ce903ecc65ff1ce91395d31c73dda0b0>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/KE_DwC-A.eml>	<hash://sha256/17c01c203e0c1d6d9bc8fcb36d09e87b57a88598f7033589452630677e1a5452>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/KE_DwC-A.zip>	<hash://sha256/223a673dab9a669d72cf5c7a8208623d875b60213f2ef3669f7a83a3432394b5>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/KSP_DwC-A.eml>	<hash://sha256/243ebc42933a13714b328d2574e1c8c3c69a81d5f9baf4b989dff29f8bf6f66d>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/KSP_DwC-A.zip>	<hash://sha256/d9b8017d6543e42ed78c248725db5a9931ff4dbbbd13854857178eec4a32960e>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/LCDI_DwC-A.eml>	<hash://sha256/e691e931944342f8f85b371c9b3c0f877894b43d84f842473cb5358ed42624bf>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/LCDI_DwC-A.zip>	<hash://sha256/3a5f841b1492f09fb26a2bf4f20b0f457e74592530538183aec19a180875e232>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/LSU-Bryophytes_DwC-A.eml>	<hash://sha256/5aa1c49b3d8c52290e7d51f82a8e672451bec2df506ffc378fa1d7514348120b>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/LSU-Bryophytes_DwC-A.zip>	<hash://sha256/6ad5d770aa33362d20cfd56ebab6af27ac1c8c54502b7cc83c5622dc51d0bc8f>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MAINE_DwC-A.eml>	<hash://sha256/3aa64e5cdf0365499620e87ff6f79ca9a2b49fc432a705ec12b0f9c2fe58d720>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MAINE_DwC-A.zip>	<hash://sha256/7183a3a137242507b96b0e72cb7c9624975cf658578235d2df99eaf0f6aae47a>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
